titulo,cidade,empresa,dataPostagem,dataConsulta,link
SERRALHEIRO DE MOLDES (M/F) BRAGA,Braga,BL Consulting,2023-11-17,2023-11-20,https://www.net-empregos.com/10780827/serralheiro-de-moldes-m-f-braga/
Programador Informático (M/F/D) Vila do Conde,Porto,Job Impulse Portugal,2023-11-17,2023-11-20,https://www.net-empregos.com/10779850/programador-informatico-m-f-d-vila-do-conde/
"Programador KNX - Automação Residencial (M/F) - Guimarães, Braga.",Braga,Manpower Portugal,2023-11-17,2023-11-20,https://www.net-empregos.com/10424406/programador-knx-automacao-residencial-m-f-guimaraes-braga/
Programador Informático,Lisboa,Triomphe Imo Invest,2023-11-16,2023-11-20,https://www.net-empregos.com/10774341/programador-informatico/
Técnico Programador PHP (m/f) Egitana Musical,Guarda,EGITANA MUSICAL LDA,2023-11-16,2023-11-20,https://www.net-empregos.com/10737223/tecnico-programador-php-m-f-egitana-musical/
Programador(a) WEB - Marketing Digital,Leiria,Setwin Solutions Lda.,2023-11-16,2023-11-20,https://www.net-empregos.com/10688599/programador-a-web-marketing-digital/
Programadores PLC / SPS - Alemanha,Outros Locais - Estrangeiro,PPA-Personalvermittlung-Portugal-Alemanha,2023-11-16,2023-11-20,https://www.net-empregos.com/9246408/programadores-plc-sps-alemanha/
Programadores PLC (M/F) - Alemanha,Outros Locais - Estrangeiro,PPA-Personalvermittlung-Portugal-Alemanha,2023-11-16,2023-11-20,https://www.net-empregos.com/8438895/programadores-plc-m-f-alemanha/
Operador e Programador de CNC (FRESA) - Alemanha,Outros Locais - Estrangeiro,PPA-Personalvermittlung-Portugal-Alemanha,2023-11-16,2023-11-20,https://www.net-empregos.com/9615485/operador-e-programador-de-cnc-fresa-alemanha/
Programador(a) WEB - Marketing Digital,Leiria,"HLink-Redes e Soft. Industrial, Lda",2023-11-16,2023-11-20,https://www.net-empregos.com/10379008/programador-a-web-marketing-digital/
PL/SQL Developer,( Todas as Zonas ),Shore,2023-11-16,2023-11-20,https://www.net-empregos.com/10433226/pl-sql-developer/
Serralheiro Moldes,Braga,Serlima,2023-11-16,2023-11-20,https://www.net-empregos.com/10775040/serralheiro-moldes/
Operador de CNC (m/f)- Santo Tirso,Porto,Multitempo by Job&Talent,2023-11-16,2023-11-20,https://www.net-empregos.com/9851993/operador-de-cnc-m-f-santo-tirso/
Analista Programador - SQL,Lisboa,Randstad Portugal,2023-11-16,2023-11-20,https://www.net-empregos.com/10775424/analista-programador-sql/
Programador/Operador de Torno M/F - Lousado (V.N. Famalicão),Braga,Anónimo,2023-11-15,2023-11-20,https://www.net-empregos.com/10219534/programador-operador-de-torno-m-f-lousado-v-n-famalicao/
Account Manager,Lisboa,MKTALENT,2023-11-15,2023-11-20,https://www.net-empregos.com/10769373/account-manager/
Operador de CNC,Porto,"Moldecarplast - Ind Plásticos e Ferramentas, Lda",2023-11-15,2023-11-20,https://www.net-empregos.com/10587360/operador-de-cnc/
A1109LK-Full Stack PHP Developer,Braga,Gobox,2023-11-15,2023-11-20,https://www.net-empregos.com/10728562/a1109lk-full-stack-php-developer/
COZIMAFRA  Programador/ Preparador de Mobiliário e Carpintaria TORRES VEDRAS,Lisboa,COZIMAFRA PRESTIGE LDA,2023-11-15,2023-11-20,https://www.net-empregos.com/10768858/cozimafra-programador-preparador-de-mobiliario-e-carpintaria-torres-vedras/
Programador Web PHP,Faro,"Ethernet., Lda.",2023-11-15,2023-11-20,https://www.net-empregos.com/10703681/programador-web-php/
Team Leader de Maquinação/Programador CNC (m/f),Aveiro,JADE Groupe,2023-11-15,2023-11-20,https://www.net-empregos.com/10729940/team-leader-de-maquinacao-programador-cnc-m-f/
Programador Júnior,Leiria,Salesgull.pt,2023-11-15,2023-11-20,https://www.net-empregos.com/10703879/programador-junior/
Programador/a - Base de Dados SQL Server e MySQL,Leiria,Janela Digital SA,2023-11-15,2023-11-20,https://www.net-empregos.com/9805389/programador-a-base-de-dados-sql-server-e-mysql/
Fullstack Developer,Faro,"Atelier do Sul de Publicidade, Lda",2023-11-15,2023-11-20,https://www.net-empregos.com/10667342/fullstack-developer/
Programador/a CNC - Fafe,Braga,METALINVICTUS UNIPESSOAL LDA,2023-11-15,2023-11-20,https://www.net-empregos.com/10690380/programador-a-cnc-fafe/
Programador de Informática (M/F),Braga,BRESTAHL ENGINEERING LDA,2023-11-15,2023-11-20,https://www.net-empregos.com/10269000/programador-de-informatica-m-f/
Programador OutSystems Sénior (M/F) - Remoto,Outros Locais - Estrangeiro,Ankix,2023-11-15,2023-11-20,https://www.net-empregos.com/10762705/programador-outsystems-senior-m-f-remoto/
SAP SD - Retalho,Lisboa,Integer Consulting,2023-11-15,2023-11-20,https://www.net-empregos.com/10770284/sap-sd-retalho/
Sap ABAP,Lisboa,Integer Consulting,2023-11-15,2023-11-20,https://www.net-empregos.com/10769368/sap-abap/
Programador Android – Kotlin,( Todas as Zonas ),Sowin,2023-11-15,2023-11-20,https://www.net-empregos.com/10768514/programador-android-8211-kotlin/
Programador Sénior OutSystems_SSTI (m/f) - Remoto,Lisboa,Match Profiler,2023-11-15,2023-11-20,https://www.net-empregos.com/10768468/programador-senior-outsystems-ssti-m-f-remoto/
Programador Sénior OutSystems (m/f) - Remoto,Lisboa,Match Profiler,2023-11-15,2023-11-20,https://www.net-empregos.com/10768469/programador-senior-outsystems-m-f-remoto/
Programador de Informática,Lisboa,GADSA - ARQUIVO E DEPOSITO S A,2023-11-14,2023-11-20,https://www.net-empregos.com/10688089/programador-de-informatica/
"Programador(a) (Delphi, Visual Studio) - Algarve (m/f)",Faro,ABACOM,2023-11-14,2023-11-20,https://www.net-empregos.com/10690031/programador-a-delphi-visual-studio-algarve-m-f/
Programador/a de CNC,Braga,"JOBASI, S.A.",2023-11-14,2023-11-20,https://www.net-empregos.com/10689152/programador-a-de-cnc/
Programador de CNC - Palmela (Setúbal),Setubal,PTC Group,2023-11-14,2023-11-20,https://www.net-empregos.com/10636465/programador-de-cnc-palmela-setubal/
Programador Sénior  Fundão,Castelo Branco,Basilaris,2023-11-14,2023-11-20,https://www.net-empregos.com/10434317/programador-senior-fundao/
Senior Developer ServiceNow (M/F) [228-000439-1],Lisboa,Adecco - Recursos Humanos,2023-11-14,2023-11-20,https://www.net-empregos.com/10762597/senior-developer-servicenow-m-f-228-000439-1/
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-11-13,2023-11-20,https://www.net-empregos.com/10751755/programador-a-de-robots-industriais-carregado/
Programador(a) e Operador(a) de CNC (M/F) - Indústria de Mobiliário - Estágio Renumerado,Porto,Ambitus SA,2023-11-11,2023-11-20,https://www.net-empregos.com/10571313/programador-a-e-operador-a-de-cnc-m-f-industria-de-mobiliario-estagio-renumerado/
Programador INDUSTRIAL (PLCs / HMIs / Robotica ...),Viseu,"Tojaltec, Lda.",2023-11-11,2023-11-20,https://www.net-empregos.com/10410210/programador-industrial-plcs-hmis-robotica/
Programador .Net,Lisboa,Integer Consulting,2023-11-11,2023-11-20,https://www.net-empregos.com/10681769/programador-net/
Python Developer - Projeto de Automação,Lisboa,Integer Consulting,2023-11-11,2023-11-20,https://www.net-empregos.com/10669691/python-developer-projeto-de-automacao/
Web Developer - Javascript,Lisboa,Integer Consulting,2023-11-11,2023-11-20,https://www.net-empregos.com/10669732/web-developer-javascript/
ASA CAM Programmer and CNC Turner-Miller 15-21/h Belgium with Accommodation,Outros Locais - Estrangeiro,Recruiter4Europe,2023-11-11,2023-11-20,https://www.net-empregos.com/10661907/asa-cam-programmer-and-cnc-turner-miller-15-21-h-belgium-with-accommodation/
ASA Operadores de CNC´s Bélgica 18-20 Neg,Outros Locais - Estrangeiro,Recruiter4Europe,2023-11-11,2023-11-20,https://www.net-empregos.com/10661895/asa-operadores-de-cnc-s-belgica-18-20-neg/
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-11-11,2023-11-20,https://www.net-empregos.com/10743121/programador-a-de-robots-industriais-carregado/
PROGRAMADOR SENIOR (m/f) - Híbrido,Lisboa,Match Profiler,2023-11-11,2023-11-20,https://www.net-empregos.com/10668069/programador-senior-m-f-hibrido/
QUINADOR (M/F) - Oiã,Aveiro,Triangle Solutions Portugal,2023-11-11,2023-11-20,https://www.net-empregos.com/10572918/quinador-m-f-oia/
Programador Informático,Porto,"Sistemas do Futuro, Lda",2023-11-10,2023-11-20,https://www.net-empregos.com/10637786/programador-informatico/
Front-End Developer (m/f),Evora,"Parsisplan - Sistemas de Informação, Lda",2023-11-10,2023-11-20,https://www.net-empregos.com/10637025/front-end-developer-m-f/
Programador WEB (M/F),Aveiro,Grupo SACIA,2023-11-10,2023-11-20,https://www.net-empregos.com/10477950/programador-web-m-f/
Chefe de Maquinação/Programador CAM (M/F),Aveiro,Grupo SACIA,2023-11-10,2023-11-20,https://www.net-empregos.com/10062569/chefe-de-maquinacao-programador-cam-m-f/
Programador Máquina Corte Laser 2D/Quinadeira,Aveiro,Grupo SACIA,2023-11-10,2023-11-20,https://www.net-empregos.com/10042308/programador-maquina-corte-laser-2d-quinadeira/
Electrotécnico Automação - Programador PLC Siemens - Zona Norte,Viana do Castelo,ISPROX,2023-11-10,2023-11-20,https://www.net-empregos.com/10661800/electrotecnico-automacao-programador-plc-siemens-zona-norte/
Programador Full Stack - Estagiário,Leiria,"Visionsoft, Lda",2023-11-09,2023-11-20,https://www.net-empregos.com/10620166/programador-full-stack-estagiario/
Professores de Cursos de Programação para Crianças,Aveiro,Anonimo,2023-11-09,2023-11-20,https://www.net-empregos.com/10622537/professores-de-cursos-de-programacao-para-criancas/
Programador(a) e Operador(a) de CNC (M/F) - Indústria de Mobiliário,Porto,Ambitus SA,2023-11-08,2023-11-20,https://www.net-empregos.com/10571295/programador-a-e-operador-a-de-cnc-m-f-industria-de-mobiliario/
Programador SailPoint (IAM),Lisboa,Randstad Portugal,2023-11-08,2023-11-20,https://www.net-empregos.com/10722056/programador-sailpoint-iam/
Programador Python [M/F],Lisboa,Thinkopen Solutions,2023-11-07,2023-11-20,https://www.net-empregos.com/10620174/programador-python-m-f/
Web Designer / Gestor de projetos web,Porto,"Sistemas do Futuro, Lda",2023-11-07,2023-11-20,https://www.net-empregos.com/10637779/web-designer-gestor-de-projetos-web/
Programador de CNC,Setubal,Confidencial,2023-11-07,2023-11-20,https://www.net-empregos.com/10614425/programador-de-cnc/
Programador CNC - Figueira da Foz,Coimbra,"Scalesoceans, Lda",2023-11-07,2023-11-20,https://www.net-empregos.com/10636893/programador-cnc-figueira-da-foz/
Programador - Python,Lisboa,Randstad Portugal,2023-11-07,2023-11-20,https://www.net-empregos.com/10712230/programador-python/
Programador/Operador CNC ( M/F) Com Experiência  Seixal,Setubal,"A. J. Maltez - Sociedade Metalúrgica, Lda.",2023-11-06,2023-11-20,https://www.net-empregos.com/10606194/programador-operador-cnc-m-f-com-experiencia-seixal/
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-11-06,2023-11-20,https://www.net-empregos.com/10704365/programador-a-de-robots-industriais-carregado/
PHP Developer,Porto,"SCPDPI, Lda",2023-11-05,2023-11-20,https://www.net-empregos.com/10652438/php-developer/
Account Manager - Gestor Comercial Dist. de Equipamentos de IT/Redes Estruturadas (Zona Centro/Sul),Lisboa,Exportech Portugal,2023-11-05,2023-11-20,https://www.net-empregos.com/10621215/account-manager-gestor-comercial-dist-de-equipamentos-de-it-redes-estruturadas-zona-centro-sul/
Gestor de Produto - IoT & Domótica,Lisboa,Exportech Portugal,2023-11-05,2023-11-20,https://www.net-empregos.com/10621228/gestor-de-produto-iot-domotica/
Suporte Técnico,Lisboa,Exportech Portugal,2023-11-04,2023-11-20,https://www.net-empregos.com/10621200/suporte-tecnico/
Programador SAP (M/F),( Todas as Zonas ),VALGRUPO,2023-11-04,2023-11-20,https://www.net-empregos.com/10637187/programador-sap-m-f/
Programador SAP (M/F),Santarem,VALGRUPO,2023-11-04,2023-11-20,https://www.net-empregos.com/10637363/programador-sap-m-f/
Developer Ionic,Lisboa,Bee Engineering,2023-11-04,2023-11-20,https://www.net-empregos.com/10629942/developer-ionic/
Analista Programador PL/SQL e Informix (m/f) - Remoto (Portugal),Lisboa,Match Profiler,2023-11-04,2023-11-20,https://www.net-empregos.com/10637757/analista-programador-pl-sql-e-informix-m-f-remoto-portugal/
Programador/Freelancer ERP PHC,Braga,Auditdata Consulting,2023-11-01,2023-11-20,https://www.net-empregos.com/10574255/programador-freelancer-erp-phc/
Programador experiente em PHP - Jardia - Montijo (Presencial),Setubal,Noble Strategy,2023-10-31,2023-11-20,https://www.net-empregos.com/10566000/programador-experiente-em-php-jardia-montijo-presencial/
Programador - Mortágua,Viseu,TESTA SGPS SA,2023-10-31,2023-11-20,https://www.net-empregos.com/10586101/programador-mortagua/
Técnico programador/apoio à produção,Aveiro,Industrial Laborum Ibérica SA,2023-10-31,2023-11-20,https://www.net-empregos.com/10469947/tecnico-programador-apoio-a-producao/
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-10-30,2023-11-20,https://www.net-empregos.com/10660935/programador-a-de-robots-industriais-carregado/
"Administrador de sistemas, Redes e Servidores Aplicacionais",Porto,Randstad Portugal,2023-10-30,2023-11-20,https://www.net-empregos.com/10661378/administrador-de-sistemas-redes-e-servidores-aplicacionais/
Programador RPG (M/F),Lisboa,Redshift,2023-10-29,2023-11-20,https://www.net-empregos.com/10579829/programador-rpg-m-f/
Analista/Programador Mainframe (M/F),Lisboa,Redshift,2023-10-29,2023-11-20,https://www.net-empregos.com/10579845/analista-programador-mainframe-m-f/
Programador .Net (M/F),Lisboa,Redshift,2023-10-29,2023-11-20,https://www.net-empregos.com/10579660/programador-net-m-f/
Técnico(a) de Informática,Porto,"Ricardo & Barbosa, Lda.",2023-10-29,2023-11-20,https://www.net-empregos.com/10579325/tecnico-a-de-informatica/
Desenhador Solidworks,Lisboa,cenycet,2023-10-29,2023-11-20,https://www.net-empregos.com/10572469/desenhador-solidworks/
Técnica Administrativa (m/f),Lisboa,Exportech Portugal,2023-10-29,2023-11-20,https://www.net-empregos.com/10621278/tecnica-administrativa-m-f/
Programador,Porto,Nutrir Mentes Lda,2023-10-29,2023-11-20,https://www.net-empregos.com/10614423/programador/
Chefe de Equipa Programação CNC (m/f),Braga,U Recruit me,2023-10-29,2023-11-20,https://www.net-empregos.com/10588195/chefe-de-equipa-programacao-cnc-m-f/
Procuram-se professores de Edição de Vídeo/Video blogging para crianças e jovens,Porto,Algorithmics,2023-10-29,2023-11-20,https://www.net-empregos.com/10565782/procuram-se-professores-de-edicao-de-video-video-blogging-para-criancas-e-jovens/
